"날짜","채널","콘텐츠유형","노출","클릭","전환","비용"
"2026-05-04","Instagram","카드뉴스","8200","310","22","240000"
"2026-05-11","Instagram","쇼츠","12500","360","18","310000"
"2026-05-18","Blog","사례형","5400","410","31","180000"
"2026-05-25","YouTube","쇼츠","16800","290","14","420000"
"2026-06-01","Instagram","카드뉴스","9100","355","25","250000"
"2026-06-08","Blog","가이드형","6100","455","34","190000"
"2026-06-15","YouTube","쇼츠","18100","340","19","430000"
"2026-06-22","Instagram","쇼츠","13200","420","24","320000"
"2026-06-29","Blog","사례형","5800","398","28","175000"
"2026-07-06","YouTube","가이드형","14500","390","30","360000"
"2026-07-13","Instagram","카드뉴스","9800","401","29","255000"
"2026-07-20","Blog","가이드형","6200","470","38","195000"
