"날짜","가상부서","요청유형","요청건수","완료건수","평균처리일","만족도","비용"
"2026-05-04","운영1팀","교육","18","16","3.2","4.2","320000"
"2026-05-11","운영1팀","교육","20","18","3.0","4.1","340000"
"2026-05-18","운영2팀","계정","34","30","2.1","4.0","120000"
"2026-05-25","운영2팀","계정","38","31","3.4","3.5","125000"
"2026-06-01","지원팀","시설","12","9","5.8","3.2","610000"
"2026-06-08","지원팀","시설","14","13","4.0","4.0","420000"
"2026-06-15","운영1팀","교육","22","20","2.8","4.3","360000"
"2026-06-22","운영2팀","계정","36","35","1.9","4.4","128000"
"2026-06-29","지원팀","시설","15","10","6.2","","650000"
"2026-07-06","운영1팀","교육","19","17","3.1","4.0","330000"
"2026-07-13","운영2팀","계정","40","38","1.8","4.5","130000"
"2026-07-20","지원팀","시설","13","12","3.6","4.1","430000"
