day_id,notion_pages,google_ai_pdf_pages,workbook_section,use_timing,instructor_action
M05-D01,p.2· 4–11· 23–24,p.2–16 · 사용법·프롬프트 기본·Tool 01 Gemini,START + TOOL 01 Gemini,사전 30~40분 설정 + 정규 도입 5분,개인 Notion 홈·수업 노트 DB·첫 기록을 만든 뒤 Gemini 결과를 첫 노트에 연결
M05-D02,p.12· 24,p.8–16 · Tool 01 Gemini,TOOL 01,실습 종료 전 7분,회의록·Gem 실습의 최종 프롬프트와 수정 이유를 프롬프트 보관함에 기록
M05-D03,p.13–14· 24,p.26–34 · Tool 03 Gemini Notebook,TOOL 03,시연 전 8분 + 종료 5분,출처 기반 질문·오디오·학습 결과를 원본 링크와 함께 수업 노트에 기록
M05-D04,p.10· 14,p.80–88 · Tool 09 Mixboard,TOOL 09,시연 전 7분,무드보드 선택 기준과 최종 결과 링크를 실습 결과물 DB에 기록
M06-D01,p.12· 14· 19,p.35–43 · Tool 04 / p.62–70 · Tool 07,TOOL 04 Nano Banana 2 + TOOL 07 Flow,1차시·3차시 각 6분,이미지 프롬프트의 고정 요소와 Flow 장면 연속성 검수를 두 도구 기록란에 남김
M06-D02,p.14· 19,p.53–61 · Tool 06 / p.71–79 · Tool 08,TOOL 06 Vids + TOOL 08 Flow Music,도구 역할 비교 8분,Google 자료는 영상·음악 제작 흐름 비교에만 쓰고 실제 최종 편집은 Vrew 기준 유지
M06-D03,p.13· 24,p.17–25 · Tool 02 Search AI Mode,TOOL 02,리서치 시작 전 8분,검색 조건·공식 출처·불확실 표시를 확인한 뒤 직무별 리서치 기준으로 전환
M07-D01,p.9–14,직접 연계 없음,사용하지 않음,Notion 연동 전 10분,데이터베이스의 행=페이지· 속성=검색 라벨 개념을 Forms·Apps Script 결과 저장에 연결
M07-D02,p.14–17,직접 연계 없음,사용하지 않음,권한 설명 8분,n8n·Notion 연동 전에 링크·게스트·웹 게시와 편집 권한 차이를 확인
M07-D03,p.9–10,p.2–7 · 상태표·프롬프트 기본·화면 차이,FINAL REVIEW · SOURCE CHECK,분석 검수 7분,수치·고유명사·출처 확인 습관을 데이터 분석 오류 기록에 연결
M08-D01,p.12· 14,p.89–106 · Tool 10·11 / p.116–124 · Tool 13,TOOL 10 Stitch + 11 Opal + 13 AI Studio,앱 제작 전 10분,화면 설계→미니앱→AI Studio 앱 흐름을 비교하고 실제 수업은 AI Studio 커리큘럼으로 수행
M08-D02,p.12· 14,p.125–133 · Tool 14 Jules,TOOL 14,코딩 에이전트 비교 5분,Jules는 비교 사례로만 제시하고 실제 분석·수정·테스트는 Codex 실습 기준 유지
M08-D03,p.13–14,p.26–34 · Tool 03 Gemini Notebook,TOOL 03,RAG 비교 7분,출처 기반 Notebook과 직접 구성하는 RAG의 공통점·차이를 한 표로 기록
M08-D04,p.12–14,p.98–106 · Tool 11 Opal,TOOL 11,에이전트 개념 비교 5분,Opal은 자연어 미니앱 비교 사례로만 쓰고 MCP·Function Calling·에이전트 실습 흐름은 유지
M09-D01,p.14· 18· 27,p.143–148 · 통합 프로젝트 5종,INTEGRATED PROJECTS + FINAL REVIEW + 30-DAY PLAN,회고 15분 + 종료 후 배포,15일 결과물을 포트폴리오 후보로 고르고 최종 회고 뒤 원본 세 자료를 일괄 배포
